"is invisible"								# MONST_INVISIBLE
"is an inanimate object"					# MONST_INANIMATE
"cannot move"								# MONST_IMMOBILE
""                                         # MONST_CARRY_ITEM_100
""                                         # MONST_CARRY_ITEM_25
""                                         # MONST_ALWAYS_HUNTING
"flees at low health"						# MONST_FLEES_NEAR_DEATH
""											# MONST_ATTACKABLE_THRU_WALLS
"corrodes weapons when hit"				# MONST_DEFEND_DEGRADE_WEAPON
"is immune to weapon damage"				# MONST_IMMUNE_TO_WEAPONS
"flies"									# MONST_FLIES
"moves erratically"						# MONST_FLITS
"is immune to fire"						# MONST_IMMUNE_TO_FIRE
""											# MONST_CAST_SPELLS_SLOWLY
"cannot be entangled"						# MONST_IMMUNE_TO_WEBS
"can reflect magic spells"                 # MONST_REFLECT_4
"never sleeps"								# MONST_NEVER_SLEEPS
"burns unceasingly"						# MONST_FIERY
"is invulnerable"                          # MONST_INVULNERABLE
"is at home in water"						# MONST_IMMUNE_TO_WATER
"cannot venture onto dry land"				# MONST_RESTRICTED_TO_LIQUID
"submerges"								# MONST_SUBMERGES
"keeps $HISHER distance"					# MONST_MAINTAINS_DISTANCE
""											# MONST_WILL_NOT_USE_STAIRS
"is animated purely by magic"				# MONST_DIES_IF_NEGATED
""                                         # MONST_MALE
""                                         # MONST_FEMALE
""                                         # MONST_NOT_LISTED_IN_SIDEBAR
"moves only when activated"               # MONST_GETS_TURN_ON_ACTIVATION