terrain,layer,DF,Machine,reqDungeon,reqLiquid,minDepth,maxDepth,freq,minIncp,minSlope,maxNumber

#Ordinary features of the dungeon
0,0,DF_GRANITE_COLUMN,0,FLOOR,NOTHING,1,DEEPEST_LEVEL,60,100,0,4
0,0,DF_CRYSTAL_WALL,0,WALL,NOTHING,14,DEEPEST_LEVEL,15,-325,25,5
0,0,DF_LUMINESCENT_FUNGUS,0,FLOOR,NOTHING,7,DEEPEST_LEVEL,15,-300,70,14
0,0,DF_GRASS,0,FLOOR,NOTHING,0,10,0,1000,-80,10
0,0,DF_DEAD_GRASS,0,FLOOR,NOTHING,4,9,0,-200,80,10
0,0,DF_DEAD_GRASS,0,FLOOR,NOTHING,9,14,0,1200,-80,10
0,0,DF_BONES,0,FLOOR,NOTHING,12,DEEPEST_LEVEL-1,30,0,0,4
0,0,DF_RUBBLE,0,FLOOR,NOTHING,0,DEEPEST_LEVEL-1,30,0,0,4
0,0,DF_FOLIAGE,0,FLOOR,NOTHING,0,8,15,1000,-333,10
0,0,DF_FUNGUS_FOREST,0,FLOOR,NOTHING,13,DEEPEST_LEVEL,30,-600,50,12
0,0,DF_BUILD_ALGAE_WELL,0,FLOOR,DEEP_WATER,10,DEEPEST_LEVEL,50,0,0,2
STATUE_INERT,DUNGEON,0,0,WALL,NOTHING,6,DEEPEST_LEVEL-1,5,-100,35,3
STATUE_INERT,DUNGEON,0,0,FLOOR,NOTHING,10,DEEPEST_LEVEL-1,50,0,0,3
TORCH_WALL,DUNGEON,0,0,WALL,NOTHING,6,DEEPEST_LEVEL-1,5,-200,70,12

#Pre-revealed traps
GAS_TRAP_POISON,DUNGEON,0,0,FLOOR,NOTHING,2,4,20,0,0,1
NET_TRAP,DUNGEON,0,0,FLOOR,NOTHING,2,5,20,0,0,1
0,0,0,MT_PARALYSIS_TRAP_AREA,FLOOR,NOTHING,2,6,20,0,0,1
ALARM_TRAP,DUNGEON,0,0,FLOOR,NOTHING,4,7,20,0,0,1
GAS_TRAP_CONFUSION,DUNGEON,0,0,FLOOR,NOTHING,2,10,20,0,0,1
FLAMETHROWER,DUNGEON,0,0,FLOOR,NOTHING,4,12,20,0,0,1
FLOOD_TRAP,DUNGEON,0,0,FLOOR,NOTHING,10,14,20,0,0,1

#Hidden traps
GAS_TRAP_POISON_HIDDEN,DUNGEON,0,0,FLOOR,NOTHING,5,DEEPEST_LEVEL-1,20,100,0,3
NET_TRAP_HIDDEN,DUNGEON,0,0,FLOOR,NOTHING,6,DEEPEST_LEVEL-1,20,100,0,3
0,0,0,MT_PARALYSIS_TRAP_HIDDEN_AREA,FLOOR,NOTHING,7,DEEPEST_LEVEL-1,20,100,0,3
ALARM_TRAP_HIDDEN,DUNGEON,0,0,FLOOR,NOTHING,8,DEEPEST_LEVEL-1,20,100,0,2
TRAP_DOOR_HIDDEN,DUNGEON,0,0,FLOOR,NOTHING,9,DEEPEST_LEVEL-1,20,100,0,2
GAS_TRAP_CONFUSION_HIDDEN,DUNGEON,0,0,FLOOR,NOTHING,11,DEEPEST_LEVEL-1,20,100,0,3
FLAMETHROWER_HIDDEN,DUNGEON,0,0,FLOOR,NOTHING,13,DEEPEST_LEVEL-1,20,100,0,3
FLOOD_TRAP_HIDDEN,DUNGEON,0,0,FLOOR,NOTHING,15,DEEPEST_LEVEL-1,20,100,0,3
0,0,0,MT_SWAMP_AREA,FLOOR,NOTHING,1,DEEPEST_LEVEL-1,30,0,0,2
0,0,DF_SUNLIGHT,0,FLOOR,NOTHING,0,5,15,500,-150,10
0,0,DF_DARKNESS,0,FLOOR,NOTHING,1,15,15,500,-50,10
STEAM_VENT,DUNGEON,0,0,FLOOR,NOTHING,16,DEEPEST_LEVEL-1,30,100,0,3
CRYSTAL_WALL,DUNGEON,0,0,WALL,NOTHING,DEEPEST_LEVEL,DEEPEST_LEVEL,100,0,0,600

#Dewars
DEWAR_CAUSTIC_GAS,DUNGEON,DF_CARPET_AREA,0,FLOOR,NOTHING,8,DEEPEST_LEVEL-1,2,0,0,2
DEWAR_CONFUSION_GAS,DUNGEON,DF_CARPET_AREA,0,FLOOR,NOTHING,8,DEEPEST_LEVEL-1,2,0,0,2
DEWAR_PARALYSIS_GAS,DUNGEON,DF_CARPET_AREA,0,FLOOR,NOTHING,8,DEEPEST_LEVEL-1,2,0,0,2
DEWAR_METHANE_GAS,DUNGEON,DF_CARPET_AREA,0,FLOOR,NOTHING,8,DEEPEST_LEVEL-1,2,0,0,2

#Flavor machines
0,0,DF_LUMINESCENT_FUNGUS,0,FLOOR,NOTHING,DEEPEST_LEVEL,DEEPEST_LEVEL,100,0,0,200
0,0,0,MT_BLOODFLOWER_AREA,FLOOR,NOTHING,1,30,25,140,-10,3
0,0,0,MT_SHRINE_AREA,FLOOR,NOTHING,5,AMULET_LEVEL,7,0,0,1
0,0,0,MT_IDYLL_AREA,FLOOR,NOTHING,1,5,15,0,0,1
0,0,0,MT_REMNANT_AREA,FLOOR,NOTHING,10,DEEPEST_LEVEL,15,0,0,2
0,0,0,MT_DISMAL_AREA,FLOOR,NOTHING,7,DEEPEST_LEVEL,12,0,0,5
0,0,0,MT_BRIDGE_TURRET_AREA,FLOOR,NOTHING,5,DEEPEST_LEVEL-1,6,0,0,2
0,0,0,MT_LAKE_PATH_TURRET_AREA,FLOOR,NOTHING,5,DEEPEST_LEVEL-1,6,0,0,2
0,0,0,MT_TRICK_STATUE_AREA,FLOOR,NOTHING,6,DEEPEST_LEVEL-1,15,0,0,3
0,0,0,MT_SENTINEL_AREA,FLOOR,NOTHING,12,DEEPEST_LEVEL-1,10,0,0,2
0,0,0,MT_WORM_AREA,FLOOR,NOTHING,12,DEEPEST_LEVEL-1,12,0,0,3